comment,likes,comment_type,author,date,mf_care_harm_score,mf_care_harm_polarity,mf_fairness_cheating_score,mf_fairness_cheating_polarity,mf_loyalty_betrayal_score,mf_loyalty_betrayal_polarity,mf_authority_subversion_score,mf_authority_subversion_polarity,mf_sanctity_degradation_score,mf_sanctity_degradation_polarity,mf_liberty_oppression_score,mf_liberty_oppression_polarity,love_concept,commitment_view,jealousy_attitude,relationship_structure,individualism,traditionalism,openness,conformity,hedonism,universalism,emotional_valence,emotional_intensity,emotions,stance,confidence,argument_type,key_claims,underlying_assumptions,complexity_level,internal_consistency,openness_to_dialogue,moral_sophistication
"새로운 신인류가 출몰한다! 남다른 세계관, 예측불가한 라이프, 기상천외한 사연, 충격적인 비주얼까지! 지구에 숨어있는 화성인 소환 준비 완료!_x000d__x000d_매주 [월] 저녁 8시 tvN STORY 방송_x000d__x000d_#화성인이지만괜찮아 #화성인",1,원댓글,@sharp_ing,2025. 9. 12. 오후 5:04:36,1,neutral,1,neutral,1,neutral,3,positive,2,negative,2,neutral,inclusive,flexible,irrelevant,individual,4,2,5,2,3,4,positive,4,"curiosity,excitement,intrigue",neutral,4,cultural,"다양한 삶의 방식이 존재한다,기존의 사회적 규범에 대한 도전은 흥미로운 콘텐츠가 될 수 있다","다양성은 존중받아야 한다,새로운 것은 흥미롭다",3,4,3,3
진심인가 정말…,7,원댓글,@wldus5084,2025. 9. 12. 오전 3:23:09,3,negative,4,negative,4,negative,2,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,3,"의심,불신,놀람",anti_polyamory,3,moral,"다자연애는 진정한 사랑이 아니다,다자연애는 배신이다","사랑은 독점적 관계여야 한다,관계는 헌신과 신뢰를 기반으로 해야 한다",1,4,2,2
정신차려라 젊은 사람아!!!!! 세상은 영원하지 않단다. 아까운 시간 허비 말고.,14,원댓글,@김영애-h9z4x,2025. 9. 12. 오전 2:16:31,4,negative,2,neutral,3,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,1,negative,4,"걱정,경멸,실망",anti_polyamory,5,personal,다자연애는 시간 낭비이다.,"인생은 유한하다.,젊은 시절은 중요한 시기이다.,일부일처제가 가장 이상적인 관계 형태이다.",1,4,1,1
조회수 안나오는 이유가 분명있음 ㅋㅋㅋㅋㅋ 재미없어요...,6,원댓글,@겨울피왕,2025. 9. 14. 오전 1:15:35,1,negative,0,neutral,0,neutral,0,neutral,0,neutral,0,neutral,undefined,undefined,undefined,undefined,3,3,3,3,4,2,negative,3,"disappointment,boredom,criticism",anti_polyamory,4,personal,콘텐츠가 재미없다,"재미가 콘텐츠의 중요한 평가 기준이다.,조회수는 콘텐츠의 질을 반영한다.",1,5,1,1
7:18 안정환 ㄹㅇ 역겹다는표정ㅋㅌㅌㅋㅋㅋㅋ,5,원댓글,@뚱땅이-m9u,2025. 9. 13. 오후 2:56:01,3,negative,0,neutral,0,neutral,0,neutral,0,neutral,0,neutral,undefined,undefined,undefined,undefined,3,2,3,3,4,2,negative,3,"혐오,비웃음,불쾌감",neutral,4,personal,안정환의 표정이 역겹다,"특정 상황에서 안정환의 표정이 불쾌감을 유발한다,역겹다는 감정은 부정적인 평가의 근거가 될 수 있다",1,5,1,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,원댓글,@jinhee8830,2025. 9. 17. 오전 7:42:41,1,negative,1,neutral,1,neutral,1,neutral,1,negative,1,neutral,undefined,reject,harmful,individual,3,1,2,1,3,2,negative,2,"mockery,derision,disbelief",anti_polyamory,1,emotional,,"다자연애는 비정상적이다,다자연애는 웃음거리다",1,5,1,1
아니 그럼 첩 두고사는 이슬람 부자들도 폴리아모리인 건가? 처첩 모두가 남편을 공유하기로 동의한 거라면 그 관계는 폴리아모리인 건가? 처첩을 거느린 그 남자는 한계없는 무한한 사랑을 가진 사랑꾼인 거고?ㅋㅋㅋㅋ,2,원댓글,@홍길동-w6r2x,2025. 9. 13. 오후 10:33:04,4,negative,5,negative,2,negative,1,neutral,3,negative,4,negative,exclusive,absolute,natural,hierarchical,2,4,2,4,1,3,negative,4,"비판,조롱,분노,불신",anti_polyamory,5,moral,"다자연애는 불평등한 권력 관계를 은폐할 수 있다.,다자연애는 여성의 자유를 침해할 수 있다.,다자연애는 사랑의 가치를 왜곡할 수 있다.","일부일처제가 이상적인 관계 형태이다.,진정한 사랑은 배타적이어야 한다.,여성은 남성에 비해 관계에서 더 취약한 위치에 있다.",3,4,2,3
폴리아모리네,3,원댓글,@lazydreamer633,2025. 9. 12. 오후 8:51:27,2,neutral,3,negative,3,negative,2,neutral,2,negative,2,neutral,undefined,undefined,undefined,undefined,3,3,3,3,3,3,neutral,1,,neutral,1,none,,,1,5,3,1
ㅋ 개도 안그러는데~ㅋ,10,원댓글,@m8u-v7k,2025. 9. 12. 오전 3:00:27,4,negative,3,negative,4,negative,2,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,5,2,2,negative,3,"비웃음,경멸,혐오",anti_polyamory,5,moral,"다자연애는 부도덕하다,다자연애는 자연스럽지 않다","일부일처제가 자연스러운 사랑의 형태다,인간은 일부일처제를 지향해야 한다",1,4,1,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,↳ 답글,@뚱땅이-m9u,2025. 9. 13. 오후 2:54:13,1,negative,2,negative,1,negative,2,negative,1,negative,1,neutral,undefined,undefined,undefined,undefined,3,2,3,2,3,3,neutral,2,"amusement,slight_disbelief",neutral,1,personal,,,1,5,1,1
